"","SEX","age2","ftyr","inc_bucket","college","race2","marital_status","urbanicity","total"
"109","Male","Millennial","full-time year-round worker","middle_income","non-college","White","Never married","rural",461717
"110","Female","Millennial","full-time year-round worker","middle_income","non-college","Non-white","Never married","urban",460508
"111","Male","Silent","not ftyr","upper_middle_income","college","White","Married","suburban",460452
"112","Female","Boomers","not ftyr","high_income","non-college","White","Married","suburban",460040
"113","Male","Millennial","not ftyr","upper_middle_income","non-college","Non-white","Never married","urban",456385
"114","Male","Millennial","full-time year-round worker","upper_middle_income","college","White","Never married","suburban",454591
"115","Male","Boomers","not ftyr","upper_middle_income","non-college","White","Married","rural",452629
"116","Female","Millennial","full-time year-round worker","upper_middle_income","college","White","Never married","suburban",446250
"117","Male","Silent","not ftyr","middle_income","college","White","Married","suburban",444845
"118","Female","Gen X","full-time year-round worker","middle_income","non-college","White","Married","suburban",443607
"119","Female","Millennial","not ftyr","upper_middle_income","non-college","White","Married","suburban",441484
"120","Male","Millennial","full-time year-round worker","upper_middle_income","college","White","Never married","urban",430166
"121","Female","Millennial","full-time year-round worker","upper_middle_income","college","White","Never married","urban",430101
"122","Male","Gen X","full-time year-round worker","middle_income","non-college","White","Divorced/separated/widowed","suburban",429964
"123","Male","Boomers","full-time year-round worker","upper_middle_income","non-college","Non-white","Married","suburban",427701
"124","Male","Gen Z","not ftyr","middle_income","non-college","Non-white","Never married","suburban",425653
"125","Female","Millennial","full-time year-round worker","upper_middle_income","non-college","White","Never married","suburban",422830
"126","Male","Gen X","full-time year-round worker","upper_middle_income","college","White","Married","rural",421772
"127","Female","Boomers","not ftyr","middle_income","non-college","Non-white","Married","urban",421526
"128","Female","Silent","not ftyr","low_income","non-college","Non-white","Divorced/separated/widowed","urban",418365
"129","Male","Millennial","full-time year-round worker","upper_middle_income","non-college","White","Married","rural",417264
"130","Male","Boomers","not ftyr","middle_income","non-college","Non-white","Married","suburban",416311
"131","Male","Boomers","full-time year-round worker","high_income","college","White","Married","urban",414548
"132","Male","Silent","not ftyr","low_income","non-college","White","Married","suburban",413319
"133","Female","Gen X","full-time year-round worker","upper_middle_income","college","White","Married","rural",410166
"134","Male","Silent","not ftyr","upper_middle_income","non-college","White","Married","suburban",408127
"135","Female","Boomers","full-time year-round worker","middle_income","non-college","White","Married","rural",401586
"136","Female","Silent","not ftyr","middle_income","non-college","White","Divorced/separated/widowed","rural",400986
"137","Female","Gen Z","not ftyr","NA","non-college","White","Never married","suburban",400128
"138","Female","Gen X","not ftyr","upper_middle_income","non-college","White","Married","rural",399955
"139","Female","Millennial","full-time year-round worker","middle_income","college","White","Never married","suburban",397042
"140","Female","Gen Z","not ftyr","middle_income","non-college","Non-white","Never married","suburban",394974
"141","Female","Silent","not ftyr","upper_middle_income","non-college","White","Married","suburban",394556
"142","Female","Gen X","full-time year-round worker","middle_income","non-college","White","Married","rural",389984
"143","Male","Gen X","full-time year-round worker","high_income","college","Non-white","Married","suburban",386890
"144","Female","Gen X","not ftyr","low_income","non-college","White","Divorced/separated/widowed","suburban",386577
"145","Male","Millennial","not ftyr","middle_income","non-college","White","Never married","rural",384647
"146","Male","Millennial","full-time year-round worker","upper_middle_income","non-college","Non-white","Married","suburban",381590
"147","Male","Boomers","not ftyr","high_income","college","White","Married","suburban",381384
"148","Female","Gen X","not ftyr","upper_middle_income","non-college","Non-white","Married","suburban",380806
"149","Female","Gen X","full-time year-round worker","middle_income","non-college","Non-white","Married","suburban",380631
"150","Female","Millennial","not ftyr","middle_income","non-college","Non-white","Married","urban",380111
"151","Male","Gen Z","not ftyr","middle_income","non-college","White","Never married","suburban",379115
"152","Male","Millennial","full-time year-round worker","middle_income","non-college","Non-white","Married","urban",377307
"153","Female","Silent","not ftyr","low_income","non-college","White","Married","suburban",376561
"154","Female","Gen X","full-time year-round worker","upper_middle_income","non-college","Non-white","Married","urban",374529
"155","Female","Millennial","not ftyr","upper_middle_income","non-college","Non-white","Never married","suburban",373480
"156","Female","Boomers","not ftyr","middle_income","non-college","White","Divorced/separated/widowed","rural",369709
"157","Female","Gen X","full-time year-round worker","upper_middle_income","college","Non-white","Married","suburban",368399
"158","Male","Silent","not ftyr","low_income","non-college","White","Divorced/separated/widowed","suburban",367814
"159","Female","Boomers","not ftyr","upper_middle_income","non-college","Non-white","Married","suburban",367307
"160","Male","Millennial","not ftyr","low_income","non-college","White","Never married","rural",364981
"161","Female","Silent","not ftyr","upper_middle_income","non-college","White","Divorced/separated/widowed","suburban",363865
"162","Female","Millennial","not ftyr","upper_middle_income","non-college","Non-white","Never married","urban",362498
"163","Female","Gen Z","not ftyr","middle_income","non-college","White","Never married","suburban",360302
"164","Male","Silent","not ftyr","low_income","non-college","White","Married","rural",357949
"165","Male","Boomers","full-time year-round worker","middle_income","non-college","White","Divorced/separated/widowed","suburban",356538
"166","Female","Millennial","full-time year-round worker","middle_income","non-college","White","Married","suburban",355191
"167","Male","Boomers","full-time year-round worker","upper_middle_income","non-college","Non-white","Married","urban",355119
"168","Male","Gen X","full-time year-round worker","upper_middle_income","non-college","White","Divorced/separated/widowed","suburban",354284
"169","Female","Millennial","not ftyr","low_income","non-college","White","Never married","rural",354255
"170","Male","Gen X","full-time year-round worker","upper_middle_income","college","White","Married","urban",353554
"171","Female","Gen X","not ftyr","low_income","non-college","Non-white","Never married","urban",352622
"172","Male","Gen X","full-time year-round worker","upper_middle_income","non-college","White","Married","urban",351441
"173","Male","Gen Z","not ftyr","NA","non-college","White","Never married","suburban",347970
"174","Female","Silent","not ftyr","low_income","non-college","Non-white","Divorced/separated/widowed","suburban",343430
"175","Male","Boomers","not ftyr","middle_income","non-college","Non-white","Married","urban",342623
"176","Male","Boomers","full-time year-round worker","middle_income","non-college","Non-white","Married","suburban",341806
"177","Male","Gen X","not ftyr","middle_income","non-college","White","Married","suburban",340029
"178","Female","Millennial","not ftyr","low_income","non-college","Non-white","Married","suburban",336634
"179","Male","Millennial","full-time year-round worker","middle_income","college","White","Never married","suburban",336022
"180","Male","Gen Z","not ftyr","middle_income","non-college","Non-white","Never married","urban",335715
"181","Male","Gen Z","not ftyr","upper_middle_income","non-college","Non-white","Never married","suburban",331562
"182","Female","Boomers","not ftyr","middle_income","non-college","White","Married","urban",331126
"183","Female","Millennial","not ftyr","middle_income","non-college","White","Never married","rural",327141
"184","Female","Gen Z","not ftyr","middle_income","non-college","Non-white","Never married","urban",326973
"185","Male","Gen X","full-time year-round worker","middle_income","non-college","White","Never married","suburban",325805
"186","Male","Silent","not ftyr","middle_income","non-college","White","Divorced/separated/widowed","suburban",325240
"187","Female","Gen X","full-time year-round worker","high_income","college","White","Married","urban",323809
"188","Female","Millennial","full-time year-round worker","upper_middle_income","non-college","Non-white","Never married","urban",322880
"189","Female","Boomers","full-time year-round worker","high_income","non-college","White","Married","suburban",321737
"190","Male","Millennial","full-time year-round worker","upper_middle_income","non-college","White","Never married","rural",321518
"191","Female","Boomers","not ftyr","upper_middle_income","college","White","Married","rural",320175
"192","Male","Boomers","full-time year-round worker","upper_middle_income","non-college","White","Married","urban",317946
"193","Female","Gen X","full-time year-round worker","high_income","non-college","White","Married","suburban",317385
"194","Female","Gen X","not ftyr","low_income","non-college","Non-white","Married","suburban",314942
"195","Female","Boomers","not ftyr","upper_middle_income","non-college","White","Married","urban",314782
"196","Female","Boomers","not ftyr","upper_middle_income","non-college","Non-white","Married","urban",313677
"197","Female","Gen X","full-time year-round worker","high_income","college","Non-white","Married","suburban",313402
"198","Female","Millennial","full-time year-round worker","upper_middle_income","non-college","Non-white","Never married","suburban",312751
"199","Female","Gen X","not ftyr","low_income","non-college","White","Divorced/separated/widowed","rural",312641
"200","Male","Boomers","full-time year-round worker","upper_middle_income","college","White","Married","rural",312225
"201","Female","Boomers","full-time year-round worker","upper_middle_income","non-college","White","Divorced/separated/widowed","suburban",305483
"202","Female","Boomers","not ftyr","middle_income","non-college","Non-white","Divorced/separated/widowed","suburban",304004
"203","Female","Gen Z","not ftyr","upper_middle_income","non-college","Non-white","Never married","suburban",301854
"204","Female","Gen X","full-time year-round worker","middle_income","non-college","Non-white","Married","urban",300968
"205","Female","Gen Z","not ftyr","low_income","non-college","Non-white","Never married","suburban",300862
"206","Male","Boomers","full-time year-round worker","middle_income","non-college","Non-white","Married","urban",297611
"207","Female","Gen X","not ftyr","low_income","non-college","Non-white","Married","urban",296698
"208","Female","Gen X","full-time year-round worker","middle_income","non-college","Non-white","Divorced/separated/widowed","suburban",294401
"209","Female","Silent","not ftyr","low_income","non-college","White","Married","rural",294132
"210","Male","Gen Z","not ftyr","low_income","non-college","Non-white","Never married","suburban",293195
"211","Female","Millennial","full-time year-round worker","upper_middle_income","college","Non-white","Never married","urban",292925
"212","Female","Millennial","not ftyr","middle_income","college","White","Married","suburban",292385
"213","Female","Gen X","not ftyr","low_income","non-college","Non-white","Never married","suburban",291321
"214","Female","Gen X","full-time year-round worker","upper_middle_income","non-college","White","Divorced/separated/widowed","suburban",290864
"215","Female","Boomers","not ftyr","middle_income","non-college","Non-white","Divorced/separated/widowed","urban",290375
"216","Male","Millennial","not ftyr","NA","non-college","Non-white","Never married","suburban",289321
"217","Male","Gen X","not ftyr","upper_middle_income","non-college","White","Married","suburban",285907
"218","Female","Millennial","full-time year-round worker","middle_income","non-college","White","Married","rural",285630
"219","Female","Millennial","full-time year-round worker","middle_income","non-college","Non-white","Married","suburban",285354
"220","Male","Boomers","not ftyr","middle_income","non-college","White","Divorced/separated/widowed","rural",284959
"221","Male","Gen X","full-time year-round worker","middle_income","non-college","White","Divorced/separated/widowed","rural",284921
"222","Male","Gen X","not ftyr","middle_income","non-college","Non-white","Married","suburban",283620
"223","Female","Boomers","not ftyr","low_income","non-college","White","Divorced/separated/widowed","urban",283119
"224","Female","Gen X","not ftyr","middle_income","non-college","White","Divorced/separated/widowed","suburban",282975
"225","Female","Boomers","not ftyr","low_income","non-college","Non-white","Married","urban",282326
"226","Male","Millennial","full-time year-round worker","upper_middle_income","college","White","Married","urban",282291
"227","Female","Millennial","full-time year-round worker","low_income","non-college","Non-white","Never married","suburban",282144
"228","Male","Millennial","full-time year-round worker","high_income","college","White","Married","suburban",282115
"229","Male","Millennial","full-time year-round worker","middle_income","college","White","Married","suburban",280305
"230","Female","Silent","not ftyr","middle_income","non-college","White","Divorced/separated/widowed","urban",279663
"231","Female","Boomers","not ftyr","upper_middle_income","non-college","White","Divorced/separated/widowed","suburban",278217
"232","Female","Boomers","not ftyr","low_income","non-college","Non-white","Married","suburban",277843
"233","Male","Gen X","full-time year-round worker","middle_income","non-college","Non-white","Never married","urban",277000
"234","Male","Millennial","not ftyr","NA","non-college","Non-white","Never married","rural",276410
"235","Female","Millennial","full-time year-round worker","middle_income","college","White","Never married","urban",276175
"236","Male","Gen X","full-time year-round worker","upper_middle_income","college","Non-white","Married","urban",275670
"237","Female","Gen X","not ftyr","low_income","non-college","Non-white","Divorced/separated/widowed","suburban",275523
"238","Female","Gen X","not ftyr","high_income","non-college","White","Married","suburban",274930
"239","Female","Gen X","not ftyr","upper_middle_income","non-college","Non-white","Married","urban",274444
"240","Female","Millennial","not ftyr","low_income","non-college","Non-white","Never married","rural",274158
"241","Female","Boomers","not ftyr","middle_income","college","White","Divorced/separated/widowed","suburban",273374
"242","Female","Millennial","full-time year-round worker","upper_middle_income","college","White","Married","rural",272999
"243","Male","Millennial","full-time year-round worker","upper_middle_income","non-college","White","Never married","urban",272889
"244","Female","Millennial","full-time year-round worker","high_income","college","White","Married","suburban",272731
"245","Male","Millennial","full-time year-round worker","upper_middle_income","college","Non-white","Never married","urban",272444
"246","Male","Silent","not ftyr","low_income","non-college","White","Divorced/separated/widowed","rural",271171
"247","Male","Gen Z","not ftyr","high_income","non-college","White","Never married","suburban",270865
"248","Male","Boomers","full-time year-round worker","upper_middle_income","non-college","White","Divorced/separated/widowed","suburban",269906
"249","Male","Millennial","not ftyr","high_income","non-college","White","Never married","suburban",269614
"250","Male","Millennial","full-time year-round worker","upper_middle_income","non-college","Non-white","Married","urban",269332
"251","Female","Gen Z","not ftyr","low_income","non-college","Non-white","Never married","urban",266309
"252","Male","Boomers","not ftyr","upper_middle_income","non-college","Non-white","Married","suburban",265696
"253","Female","Gen Z","not ftyr","low_income","non-college","White","Never married","suburban",265383
"254","Male","Millennial","not ftyr","upper_middle_income","non-college","White","Never married","rural",265381
"255","Female","Millennial","not ftyr","low_income","non-college","Non-white","Married","urban",263531
"256","Male","Millennial","full-time year-round worker","upper_middle_income","college","Non-white","Married","suburban",260306
"257","Male","Boomers","not ftyr","upper_middle_income","college","White","Married","rural",258688
"258","Female","Millennial","full-time year-round worker","upper_middle_income","college","White","Married","urban",258064
"259","Male","Gen Z","not ftyr","low_income","non-college","Non-white","Never married","urban",257768
"260","Female","Gen X","not ftyr","low_income","non-college","White","Married","suburban",256570
"261","Female","Boomers","full-time year-round worker","upper_middle_income","non-college","Non-white","Married","suburban",256032
"262","Male","Boomers","not ftyr","low_income","non-college","Non-white","Married","suburban",255657
"263","Female","Millennial","full-time year-round worker","upper_middle_income","non-college","White","Married","rural",254712
"264","Male","Millennial","full-time year-round worker","middle_income","non-college","White","Never married","urban",254568
"265","Male","Boomers","not ftyr","middle_income","non-college","White","Married","urban",253868
"266","Female","Boomers","full-time year-round worker","middle_income","non-college","White","Divorced/separated/widowed","rural",253282
"267","Male","Millennial","full-time year-round worker","high_income","college","White","Never married","urban",252075
"268","Male","Boomers","not ftyr","low_income","non-college","White","Never married","suburban",251705
"269","Female","Gen X","full-time year-round worker","middle_income","non-college","White","Divorced/separated/widowed","rural",251126
"270","Female","Millennial","not ftyr","low_income","non-college","White","Married","suburban",250640
"271","Male","Gen X","full-time year-round worker","high_income","college","Non-white","Married","urban",250415
"272","Male","Millennial","not ftyr","middle_income","non-college","White","Never married","urban",249875
"273","Male","Gen X","full-time year-round worker","middle_income","college","White","Married","suburban",249546
"274","Female","Gen X","full-time year-round worker","middle_income","non-college","Non-white","Never married","urban",248870
"275","Male","Boomers","not ftyr","low_income","non-college","Non-white","Married","urban",248655
"276","Male","Boomers","full-time year-round worker","upper_middle_income","college","White","Married","urban",248092
"277","Male","Gen X","full-time year-round worker","middle_income","non-college","Non-white","Never married","suburban",247835
"278","Female","Gen X","not ftyr","upper_middle_income","college","Non-white","Married","suburban",247087
"279","Female","Silent","not ftyr","NA","non-college","White","Divorced/separated/widowed","suburban",246593
"280","Female","Gen X","not ftyr","low_income","non-college","White","Married","rural",245743
"281","Male","Gen X","not ftyr","low_income","non-college","White","Never married","suburban",244871
"282","Male","Gen X","not ftyr","middle_income","non-college","White","Married","rural",244238
"283","Female","Silent","not ftyr","middle_income","college","White","Divorced/separated/widowed","suburban",244187
"284","Female","Millennial","full-time year-round worker","upper_middle_income","non-college","Non-white","Married","suburban",243999
"285","Male","Boomers","not ftyr","low_income","non-college","Non-white","Divorced/separated/widowed","suburban",243932
"286","Female","Boomers","not ftyr","high_income","college","White","Married","urban",243139
"287","Female","Gen X","not ftyr","middle_income","college","White","Married","suburban",243076
"288","Female","Gen X","not ftyr","low_income","non-college","Non-white","Divorced/separated/widowed","urban",242482
"289","Female","Millennial","not ftyr","upper_middle_income","college","White","Never married","suburban",242136
"290","Male","Gen Z","not ftyr","low_income","non-college","White","Never married","suburban",241787
"291","Male","Gen Z","not ftyr","upper_middle_income","non-college","White","Never married","rural",240789
"292","Male","Gen X","full-time year-round worker","upper_middle_income","non-college","White","Never married","suburban",240663
"293","Female","Boomers","not ftyr","low_income","non-college","Non-white","Never married","urban",240064
"294","Female","Silent","not ftyr","middle_income","non-college","Non-white","Divorced/separated/widowed","urban",238758
"295","Male","Gen X","not ftyr","low_income","non-college","Non-white","Never married","urban",238662
"296","Female","Boomers","not ftyr","upper_middle_income","college","White","Married","urban",235991
"297","Male","Silent","not ftyr","middle_income","non-college","White","Married","urban",235242
"298","Female","Boomers","not ftyr","middle_income","college","White","Married","rural",234485
"299","Female","Millennial","full-time year-round worker","upper_middle_income","college","Non-white","Married","suburban",234305
"300","Male","Gen X","not ftyr","middle_income","non-college","Non-white","Married","urban",233948
"301","Male","Boomers","not ftyr","upper_middle_income","non-college","Non-white","Married","urban",233897
"302","Male","Boomers","not ftyr","low_income","non-college","Non-white","Divorced/separated/widowed","urban",233731
"303","Female","Millennial","not ftyr","upper_middle_income","non-college","Non-white","Married","suburban",230858
"304","Male","Gen X","not ftyr","middle_income","non-college","White","Never married","suburban",230581
"305","Female","Gen X","full-time year-round worker","upper_middle_income","college","White","Married","urban",230251
"306","Female","Gen X","full-time year-round worker","middle_income","non-college","Non-white","Never married","suburban",229664
"307","Female","Gen X","full-time year-round worker","upper_middle_income","college","White","Divorced/separated/widowed","suburban",229172
"308","Female","Gen X","full-time year-round worker","middle_income","non-college","Non-white","Divorced/separated/widowed","urban",229083
"309","Female","Millennial","full-time year-round worker","middle_income","non-college","White","Never married","rural",228945
"310","Female","Millennial","not ftyr","low_income","non-college","White","Married","rural",228020
"311","Female","Gen Z","not ftyr","high_income","non-college","White","Never married","suburban",227582
"312","Male","Gen Z","not ftyr","upper_middle_income","non-college","Non-white","Never married","urban",225583
"313","Female","Boomers","full-time year-round worker","upper_middle_income","college","White","Divorced/separated/widowed","suburban",224768
"314","Male","Gen X","full-time year-round worker","middle_income","non-college","Non-white","Divorced/separated/widowed","suburban",224616
"315","Female","Gen X","full-time year-round worker","upper_middle_income","college","Non-white","Married","urban",224035
"316","Male","Gen Z","not ftyr","middle_income","non-college","White","Never married","rural",223958
"317","Female","Silent","not ftyr","upper_middle_income","college","White","Married","suburban",223904
"318","Female","Gen Z","not ftyr","upper_middle_income","non-college","White","Never married","rural",222838
"319","Male","Millennial","full-time year-round worker","middle_income","college","White","Never married","urban",222062
"320","Female","Millennial","full-time year-round worker","middle_income","college","Non-white","Never married","urban",221526
"321","Male","Millennial","not ftyr","low_income","non-college","Non-white","Never married","rural",220836
"322","Female","Gen X","not ftyr","high_income","college","White","Married","urban",220325
"323","Male","Millennial","not ftyr","upper_middle_income","non-college","White","Never married","urban",219790
"324","Male","Millennial","full-time year-round worker","high_income","non-college","White","Never married","suburban",219154
"325","Female","Boomers","full-time year-round worker","upper_middle_income","college","White","Married","rural",217214
"326","Male","Boomers","not ftyr","middle_income","college","White","Married","rural",216636
"327","Male","Boomers","full-time year-round worker","middle_income","non-college","White","Divorced/separated/widowed","rural",215791
"328","Male","Boomers","not ftyr","upper_middle_income","non-college","White","Married","urban",213768
"329","Male","Millennial","full-time year-round worker","low_income","non-college","Non-white","Never married","suburban",213523
"330","Female","Boomers","full-time year-round worker","upper_middle_income","non-college","Non-white","Married","urban",212256
"331","Male","Gen X","full-time year-round worker","middle_income","non-college","Non-white","Married","rural",212034
