"","puma","PUMAname","simple_density","logged_density","hholds"
"34","3604018","NYC-Brooklyn Community District 13--Brighton Beach & Coney Island",24039.4241504222,18717.4936888782,45639
"35","3604010","NYC-Brooklyn Community District 17--East Flatbush, Farragut & Rugby",19908.114032148,18512.7764635643,49313
"36","3603701","NYC-Bronx Community District 8--Riverdale, Fieldston & Kingsbridge",23096.0494079464,18192.6830794014,42374
"37","3604017","NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach",18840.8329088045,18002.2439969001,63656
"38","0607503","San Francisco County (Central)--South of Market & Potrero",26482.0191906403,17839.9768625286,66325
"39","3604109","NYC-Queens Community District 2--Sunnyside & Woodside",21783.8923490791,17800.3012107604,52362
"40","0603733","Los Angeles County (Central)--LA City (Central/Koreatown)",18755.0360707025,17052.4974861826,44504
"41","3603704","NYC-Bronx Community District 11--Pelham Parkway, Morris Park & Laconia",20975.7779773161,16736.4222395912,44518
"42","3604013","NYC-Brooklyn Community District 10--Bay Ridge & Dyker Heights",17625.8922915999,16161.8814375449,48040
"43","1703501","Chicago City (North)--Edgewater, Uptown & Rogers Park",18670.972646951,16139.468652305,81694
"44","1703502","Chicago City (North)--Lake View & Lincoln Park",19144.6297631448,15927.9738452206,85083
"45","3604014","NYC-Brooklyn Community District 12--Borough Park, Kensington & Ocean Parkway",16649.4666035745,15679.3452622658,45793
"46","2503302","Boston City--Back Bay, Beacon Hill, Charlestown, East Boston, Central & South End",18172.819757114,14910.8252776959,72720
"47","3604016","NYC-Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest",15722.7378935095,14667.2582663321,56578
"48","4203209","Philadelphia City (Center City)",16782.3921309058,14123.84809905,69768
"49","0607504","San Francisco County (Central)--Inner Mission & Castro",14533.0904250277,13775.8974914919,52650
"50","1100105","District of Columbia (Central)",16571.9370592903,13621.1538380256,78260
"51","3604008","NYC-Brooklyn Community District 5--East New York & Starrett City",15275.2016726044,13458.3291289203,54359
"52","3400601","Hudson County (Central)--Jersey City (North)",14787.1493280186,13234.1802854759,57428
"53","3603702","NYC-Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn",14603.4896069395,13065.9354977222,48495
"54","3604110","NYC-Queens Community District 5--Ridgewood, Glendale & Middle Village",14350.6950827944,12741.3055547461,61779
"55","0607501","San Francisco County (North & West)--Richmond District",14190.1041495996,12579.9959230152,64841
"56","3604111","NYC-Queens Community District 9--Richmond Hill & Woodhaven",13885.8742740429,12578.3527893998,44754
"57","1500304","Honolulu County--Tantalus to Waikiki",17039.3739919674,11682.7911123042,55992
"58","3604103","NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone",16114.8402494688,11254.451572478,87071
"59","2503301","Boston City--Allston, Brighton & Fenway",15708.4188166578,11230.9585927713,40236
"60","3603703","NYC-Bronx Community District 10--Co-op City, Pelham Bay & Schuylerville",13167.4953873075,11179.1292842439,47551
"61","4203211","Philadelphia City (Southeast)",12135.099909571,10857.7453990426,49158
"62","3604009","NYC-Brooklyn Community District 18--Canarsie & Flatlands",11969.5534181599,10807.5309377084,68581
"63","5311603","Seattle City (Downtown)--Queen Anne & Magnolia",13846.6578393576,10248.8042044294,78768
"64","3604106","NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest",11574.5126427374,10231.0876776431,55391
"65","3400701","Hudson County (North)--West New York, Secaucus & Guttenberg Towns",13792.8737372784,9370.67827394912,52644
"66","3400602","Hudson County (Central)--Jersey City (South)",10655.7354952357,9083.41900690416,40179
"67","0603734","Los Angeles County--LA City (East Central/Silver Lake, Echo Park & Westlake)",11173.3354362497,9060.79533754997,74893
"68","3604112","NYC-Queens Community District 12--Jamaica, Hollis & St. Albans",10383.8308461275,8997.73299443056,71287
"69","0603732","Los Angeles County (Central)--LA City (East Central/Hollywood)",10480.1412535427,8936.63956571499,77402
"70","0603769","Los Angeles County (Southeast)--Long Beach (Central) & Signal Hill Cities",9910.60054900064,8579.46039674288,37729
"71","2500506","Middlesex County (East)--Cambridge City",9419.27724416386,8258.99128917835,44234
"72","1703524","Chicago City (West)--West Town, Near West Side & Lower West Side",9878.87559539683,8236.84036003258,77236
"73","0607505","San Francisco County (Central)--Sunset District (North)",8807.35582980153,8130.73599794269,43560
"74","1703522","Chicago City (Northwest)--Logan Square, Avondale & Hermosa",8429.80266212057,7936.91145755565,49930
"75","1703503","Chicago City (North)--West Ridge, Lincoln Square & North Center",8436.79209893055,7922.93994980156,57978
"76","2503304","Boston City--Mattapan & Roxbury",8373.58937170545,7848.86959519971,48992
"77","3604113","NYC-Queens Community District 10--Howard Beach & Ozone Park",8918.71840212867,7832.66414721302,39359
"78","4203210","Philadelphia City (Southwest)",8603.49583482952,7733.08886358654,53991
"79","2500507","Middlesex County (East)--Somerville & Everett Cities",8530.41308610633,7724.46839240976,48044
"80","0603731","Los Angeles County (Central)--West Hollywood & Beverly Hills Cities",10974.2236551924,7668.95081381655,59573
"81","0603730","Los Angeles County (West Central)--LA City (Central/Hancock Park & Mid-Wilshire)",9491.08746040549,7650.49170465861,72692
"82","4203208","Philadelphia City (West)",8263.60697736083,7637.16709827939,49679
"83","2503303","Boston City--Dorchester & South Boston",9122.29751726486,7620.91860284143,48367
"84","0603729","Los Angeles County (West Central)--LA City (West Central/Westwood & West Los Angeles)",9148.25646142907,7534.50856312765,87459
"85","1208613","Miami-Dade County (Northeast Central)--Miami City (Downtown)",8362.72363700507,7498.63242063326,42581
"86","4203205","Philadelphia City (East)",8063.6666257475,7161.14057806785,56684
"87","1703529","Chicago City (South)--South Shore, Hyde Park, Woodlawn, Grand Boulevard & Douglas",8025.62951433637,7109.9962813049,81708
"88","4203204","Philadelphia City (North)",7354.49516797031,7103.18872267673,59867
"89","0600102","Alameda County (Northwest)--Oakland (Northwest) & Emeryville Cities",8405.58185855592,7021.97050589737,73125
"90","3401301","Essex County (Southeast)--Newark City (North & East)",8071.36083802354,6961.73982120459,52567
"91","3604114","NYC-Queens Community District 14--Far Rockaway, Breezy Point & Broad Channel",8104.9701145088,6956.14495784288,41056
"92","0603766","Los Angeles County (South)--Long Beach City (Southwest & Port)",8277.5880685847,6889.93251095623,34203
"93","4203207","Philadelphia City (Central)",7351.95284154004,6758.2812905765,41166
"94","5101302","Arlington County (South)",7995.18891025424,6735.73367278673,52079
"95","1100102","District of Columbia (North)",8709.77290467345,6705.9991819992,46533
"96","1208614","Miami-Dade County (East)--Miami City (East) & Key Biscayne Village",9793.13766061021,6661.30243106866,44233
"97","3401302","Essex County (Southeast)--Newark City (Southwest)",7260.74408684164,6549.78068701685,42749
"98","5101301","Arlington County (North)",11003.9603458996,6544.28046399421,50231
"99","1208612","Miami-Dade County (Northeast)--Miami Beach City & Miami Shores Village",9236.93294668049,6382.86665163782,47378
"100","0603728","Los Angeles County (Southwest)--Santa Monica City",7295.01225214007,6350.68923771709,52346
"101","0603746","Los Angeles County--LA City (Central/Univ. of Southern California & Exposition Park)",6659.24518364032,6295.82373066054,31791
"102","3400303","Bergen County (Southeast)--Fort Lee, Cliffside Park & Palisades Park Boroughs",7276.38373544061,6110.33343451691,57428
"103","1208604","Miami-Dade County (Northeast)--Aventura City & Surfside Town",8020.1793952716,6105.32461389278,47086
"104","4203203","Philadelphia City (Near Northeast-East)",6623.22685579167,6021.35116727503,46438
"105","0607316","San Diego County (South Central)--San Diego City (Central/Centre City & Balboa Park)",6816.80524069403,5953.84779406617,79037
"106","0603744","Los Angeles County (Central)--LA City (East Central/Central City & Boyle Heights)",8646.82402455703,5949.50045538887,60731
"107","0607507","San Francisco County (South Central)--Bayview & Hunters Point",6695.84427270654,5901.34156048453,32679
"108","1100103","District of Columbia (Northeast)",7028.58732728565,5888.00099034275,46544
"109","1703504","Chicago City (Northwest)--Irving Park, Albany Park, Forest Glen & North Park",6864.39968944904,5836.6305920882,50101
"110","4203202","Philadelphia City (Near Northeast-West)",6232.03696901414,5755.87094897523,48790
"111","0603721","Los Angeles County (North)--LA City (Northeast/North Hollywood & Valley Village)",6475.36330873767,5733.74265068501,53393
"112","3401800","Union County (Northeast)--Elizabeth City",6670.86030982902,5722.48719659764,40219
"113","5151255","Alexandria City",7134.39091478459,5668.50623414537,68663
"114","3400400","Passaic County (Southeast)--Paterson City",6129.26199309745,5653.12858775821,43786
"115","3604104","NYC-Queens Community District 11--Bayside, Douglaston & Little Neck",6015.56390216431,5599.76698931743,43596
"116","3603106","Westchester County (Southwest)--Yonkers City",7177.62145920563,5576.19607947797,74392
"117","0607506","San Francisco County (South Central)--Sunset District (South)",6139.98702179526,5548.45100011253,39394
"118","0600101","Alameda County (North)--Berkeley & Albany Cities",6221.87145544242,5545.5982851708,52885
"119","0603759","Los Angeles County (South Central)--Hawthorne City",6783.39374847167,5518.10535418189,36478
"120","3401402","Essex County (South Central)--East Orange City",6610.09023544723,5503.6352993241,69405
"121","2701407","Hennepin County--Minneapolis City (Southwest)",6809.51021080812,5474.40269285447,68425
"122","3400703","Hudson County (South & West)--Bayonne City, Kearney & Harrison Towns",6976.72711005699,5427.82668266278,47507
"123","0603747","Los Angeles County (Central)--LA City (Central/West Adams & Baldwin Hills)",5986.80125155486,5356.74466252645,60309
"124","2400804","Baltimore City--Inner Harbor, Canton & Bayview",6918.39133109204,5350.57176000156,53530
"125","0603745","Los Angeles County (Central)--LA City (Southeast/East Vernon)",5589.6200227829,5342.07647643273,28305
"126","1703521","Chicago City (West)--Austin, Belmont Cragin & Montclare",5685.28568874892,5331.63160197006,58409
"127","3604105","NYC-Queens Community District 13--Queens Village, Cambria Heights & Rosedale",5563.13384648612,5300.96596786031,60516
"128","3603903","NYC-Staten Island Community District 1--Port Richmond, Stapleton & Mariners Harbor",5610.3418667667,5098.47381594362,60891
"129","1208607","Miami-Dade County (Northeast)--Hialeah City (North Central)",5700.26300984145,5082.31498179058,31607
"130","0800814","Denver City (South Central)",6721.95276821071,5058.51160520287,58274
"131","1703520","Chicago City (Northwest)--Portage Park, Dunning & Jefferson Park",5136.3500649232,5011.76216700809,48668
"132","4802313","Dallas City (Downtown)--North of I-30",5847.70431663131,5007.31198357766,63303
"133","1208615","Miami-Dade County (East Central)--Miami City (West)",5889.9802501732,4989.02704617196,39113
"134","1703523","Chicago City (West)--North & South Lawndale, Humboldt Park, East & West Garfield Park",5602.50435563606,4921.63020239363,58086
"135","5311604","Seattle City (Southeast)--Capitol Hill",6326.43517710414,4919.66698260906,53223
"136","0603723","Los Angeles County (North)--LA City (North Central/Mission Hills & Panorama City)",6181.33640890321,4868.90801056562,39383
"137","0603750","Los Angeles County (South Central)--LA City (South Central/Westmont)",5101.14902576787,4868.696165582,52320
"138","2503306","Suffolk County (North)--Revere, Chelsea & Winthrop Town Cities",5393.40408180169,4845.44401515878,40443
"139","0603722","Los Angeles County (Northwest)--LA City (North Central/Van Nuys & North Sherman Oaks)",5083.21476352138,4826.66072151586,60114
"140","1208611","Miami-Dade County (Northeast Central)--Miami City (North)",5831.34814619965,4776.22597699431,41332
"141","5311601","Seattle City (Northwest)",5190.72106041759,4767.51795863421,72164
"142","0600104","Alameda County (North Central)--Oakland City (South Central)",4973.76341933386,4752.8964917334,40543
"143","0603749","Los Angeles County (Central)--Inglewood City",5394.61794598047,4734.53176369593,37580
"144","0603742","Los Angeles County (Central)--Huntington Park City, Florence-Graham & Walnut Park",5062.88828193417,4706.5174302967,31605
"145","1703408","Cook County (Central)--Cicero, Berwyn & Oak Park Townships",5182.51170401397,4685.61788280839,61935
"146","2400802","Baltimore City--Guilford, Roland Park & Druid Lake",5493.03478973635,4654.9537913412,45088
"147","4804614","Houston City (West)--Westpark Tollway, Between Loop I-610 & Beltway TX-8",5354.26127158746,4652.60621716461,43065
"148","0603743","Los Angeles County (Central)--East Los Angeles",4872.48375066961,4645.82019238808,31043
"149","0603751","Los Angeles County (South Central)--LA City (South Central/Watts)",4808.47602939458,4645.03996644419,38074
"150","0603760","Los Angeles County--Redondo Beach, Manhattan Beach & Hermosa Beach Cities",4896.17970722716,4590.51549829241,57145
"151","1703526","Chicago City (Southwest)--Brighton Park, New City, Bridgeport & McKinley Park",5362.55415103176,4577.7915969097,51436
"152","3400501","Passaic County (South)--Passaic & Clifton (Southeast) Cities",5258.06654267056,4551.75320005255,42983
"153","0607317","San Diego County (South Central)--San Diego City (Central/Mid-City)",5341.41181723045,4500.80852680888,58320
"154","1100104","District of Columbia (East)",5085.95562451732,4440.43555638952,59261
"155","2503305","Boston City--Hyde Park, Jamaica Plain, Roslindale & West Roxbury",5064.09095676917,4436.15353966062,52905
"156","1100101","District of Columbia (West)",5833.41887311666,4413.30627103465,47387
"157","3603107","Westchester County (South Central)--New Rochelle & Mount Vernon Cities",5676.55310381895,4369.35208143916,70386
"158","3601206","Erie County (West Central)--Buffalo City (West)",4755.78145253214,4300.5149698328,50352
"159","4203206","Philadelphia City (Northwest)",4888.51628042439,4269.00948022361,56830
"160","0603758","Los Angeles County (South Central)--Gardena, Lawndale Cities & West Athens",4698.3163118629,4248.19192167328,50706
"161","0603719","Los Angeles County (Central)--Glendale City",5814.7637954442,4229.2356057897,72738
"162","0603748","Los Angeles County--LA (Southwest/Marina del Rey & Westchester) & Culver City Cities",4955.04035279665,4184.52364561386,81717
"163","1703531","Chicago City (South)--Auburn Gresham, Roseland, Chatham, Avalon Park & Burnside",4694.45514884758,4172.16594467333,49954
"164","1703527","Chicago City (Southwest)--Gage Park, Garfield Ridge & West Lawn",4381.6107930675,4109.74160608191,44736
"165","0800813","Denver City (Northwest)",5188.61907684942,4096.81138165053,51280
"166","2401007","Montgomery County (Southeast)--Takoma Park City & Silver Spring",5360.75686845786,4091.39454558768,44465
"167","5311602","Seattle City (Northeast)",4746.49822139452,4072.87697630214,52086
"168","0603767","Los Angeles County (South)--LA City (South/San Pedro)",4596.63346680893,4048.53912898167,59320
"169","2500508","Middlesex County (East)--Malden & Medford Cities",4388.72590544609,4002.34199375284,45518
"170","4201701","Pittsburgh City (North)",4680.87399175756,3990.91427906659,84912
"171","0603736","Los Angeles County (Central)--Alhambra & South Pasadena Cities",4360.50375908859,3957.58696315527,41650
"172","0603756","Los Angeles County (Southeast)--Bellflower & Paramount Cities",4285.33521727648,3937.28192860751,33894
"173","1703528","Chicago City (South)--Chicago Lawn, Englewood/West Englewood & Greater Grand Crossing",4225.1991814996,3878.03123230075,46936
"174","0900302","Hartford Town",4665.86066077729,3862.6822020958,45822
"175","0603741","Los Angeles County (Central)--Bell Gardens, Bell, Maywood, Cudahy & Commerce Cities",4540.08378913358,3842.14901900674,34818
"176","4400103","Providence City",4114.57292523923,3792.68371511604,62057
"177","2500704","Essex County (South)--Lynn City, Swampscott & Nahant Towns",4930.70173516543,3784.47426983703,40035
"178","5541004","Milwaukee City (South Central)",4421.26672899575,3768.12158138642,33491
"179","4101305","Portland City (Central East)",4011.09443370201,3745.13057675089,52931
"180","4802307","Dallas City (Northeast)--East of US-75",4855.65073988269,3740.42765968796,52243
"181","1500305","Honolulu County--Nuuanu to Kalihi",6529.92481553161,3732.55723887002,36318
"182","3600902","Monroe County (Central)--Rochester City (East)",4036.51658482544,3729.72798447955,47009
"183","2400803","Baltimore City--Frankford, Belair-Edison & Loch Raven",4089.72583921593,3726.51964943872,45252
"184","4804604","Houston City (West Central)--South of I-10 & Inside Loop I-610",4189.68562422508,3725.65714423263,69991
"185","3400301","Bergen County (South Central)--Hackensack & Englewood (West) Cities",4471.48054117266,3695.50763978432,42222
"186","5500101","Madison City (Central)",5572.89636140764,3691.80697934761,52440
"187","0900104","Bridgeport Town",4232.09824141457,3680.96609114979,50341
"188","1208603","Miami-Dade County (Northeast)--Greater North Miami Beach City (West)",5198.49415902856,3674.98946491404,36668
"189","0603763","Los Angeles County (South Central)--Long Beach City (North)",3982.76147239811,3674.83212182942,44314
"190","0603752","Los Angeles County (South)--South Gate & Lynwood Cities",4065.69664068935,3672.54266723049,40537
"191","0603765","Los Angeles County (Southeast)--Long Beach City (East)",4204.68336971248,3664.10061547833,53824
"192","0608502","Santa Clara County (Northwest)--Sunnyvale & San Jose (North) Cities",4296.22530694739,3656.76878426084,58105
"193","3603902","NYC-Staten Island Community District 2--New Springville & South Beach",4403.02386529334,3655.96288144238,47211
"194","5541003","Milwaukee City (Central)",4063.86744632381,3651.99857709988,37931
"195","4804613","Houston (West) & Hunters Creek Village Cities--Between Loop I-610 & Beltway TX-8",4522.92683813173,3616.67695997389,55078
"196","0608509","Santa Clara County (Central)--San Jose City (Northwest)",4002.19344295444,3601.44635389542,46479
"197","3401401","Essex County (Northeast)",3755.34342055893,3600.04199226937,41299
"198","0607312","San Diego County (Central)--San Diego City (Central/Mira Mesa & University Heights)",5248.19375796148,3576.90375845677,40695
"199","0603735","Los Angeles County--LA City (Mount Washington, Highland Park & Glassell Park)",3921.33121875549,3553.59342899994,61844
"200","1208609","Miami-Dade County (Northeast)--Hialeah City (South Central)",3907.88819621766,3541.65559789868,31602
"201","0800815","Denver City (Southeast)",4110.98902628466,3540.36956179615,82583
"202","2202401","Regional Planning Commission 7--New Orleans City (Central)",3804.1329630981,3517.40702480883,49343
"203","3603901","NYC-Staten Island Community District 3--Tottenville, Great Kills & Annadale",3966.71850615971,3493.95467931946,58048
"204","0605917","Orange County (Central)--Santa Ana City (East)",4017.45971906995,3486.14271769541,39201
"205","2500502","Middlesex County (Far Northeast)--Lowell City",4097.65130624773,3471.7944042501,38965
"206","0608508","Santa Clara County (Central)--San Jose (West Central) & Campbell Cities",3681.68292548013,3467.04756724053,50135
"207","0603724","Los Angeles County (Northwest)--LA City (Northwest/Encino & Tarzana)",4998.64446810606,3448.32293399184,60990
"208","0603718","Los Angeles County (Central)--Pasadena City",4111.96593138041,3437.14822247697,54381
"209","0603761","Los Angeles County (South Central)--Torrance City",4026.38994256427,3420.71970277125,46847
"210","4203201","Philadelphia City (Far Northeast)",3878.13680475958,3418.48092584753,58909
"211","1201114","Broward County (Southeast)--Miramar (East), Hallandale Beach & West Park Cities",4272.25570917573,3401.84661944878,42595
"212","5540101","Milwaukee County (Northeast)",5539.18355509393,3380.86946602692,50825
"213","2400801","Baltimore City--Sandtown-Winchester, Ashburton & Mount Washington",3797.4715304854,3377.04297134294,50804
"214","2701406","Hennepin County--Minneapolis City (Southeast)",3645.708252181,3367.12160667845,51770
"215","4203302","Delaware County (East)--Yeadon, Darby, Lansdowne Boroughs & Drexel Hill",3933.40797961377,3330.81378428795,59202
"216","0605909","Orange County (North Central)--Anaheim City (West)",3445.83686207006,3319.53867106135,41745
"217","5541002","Milwaukee City (North Central)",3472.42907407969,3309.96932764458,46589
"218","0900905","New Haven Town",3940.4654353819,3295.86244679331,49987
"219","3200409","Clark County (Central)--Paradise (Northwest) & Winchester",4319.98232745605,3280.00426812776,63799
"220","1301007","Atlanta Regional Commission (Central)--Fulton County (East)--Atlanta City (Southeast)",4702.40168823495,3266.31709965214,61682
"221","3400304","Bergen County (West Central)--Fair Lawn Borough, Garfield City & Lodi Borough",3603.46206843686,3249.32307328749,43823
"222","0603720","Los Angeles County (Central)--Burbank City",3775.60064682061,3235.90633060225,47801
"223","0608514","Santa Clara County (Central)--San Jose City (East Central/East Valley)",3463.44806002454,3222.66087040387,26488
"224","1208619","Miami-Dade County (Central)--Kendale Lakes (Southwest) & Kendall West (South)",4064.72586522935,3219.74482080973,32282
"225","3603212","Nassau County (Southwest)--Hempstead Town (Southwest) & Long Beach City",4353.61942400125,3205.84723504766,37701
"226","3904105","Columbus City (Central)",3669.12095567101,3188.25147059751,46990
"227","2503400","Middlesex (Southeast) & Norfolk (Northeast) Counties--Newton City & Brookline Town",4626.87773189843,3174.61127250608,55668
"228","4804637","Houston City (West)--Westpark Tollway, West of Beltway TX-8",3654.90416468923,3166.27282846432,51185
"229","0608510","Santa Clara County (Central)--San Jose City (Central)",3550.20731119258,3157.86512769776,53869
"230","0600105","Alameda County (West)--San Leandro, Alameda & Oakland (Southwest) Cities",3833.85332779684,3157.02324226833,64366
"231","3603206","Nassau County (Central)--Hempstead Town (North Central)--Meadowbrook Corridor",3553.01296366616,3128.21675800059,41440
"232","2901902","St. Louis City (South)",3388.24958769064,3108.30161197451,84695
"233","2400805","Baltimore City--Irvington, Ten Hills & Cherry Hill",3957.28989900796,3096.28023764756,45117
"234","0607310","San Diego County (West)--San Diego City (Southwest/Central Coastal)",4119.67240211642,3084.65905835155,72041
"235","1201107","Broward County (Central)--Lauderhill & Lauderdale Lakes Cities",3300.33274138751,3057.09959838268,34426
"236","2500505","Middlesex County--Watertown Town City, Arlington, Belmont & Winchester Towns",3457.99929520047,3050.99414813152,51448
"237","0608511","Santa Clara County (Central)--San Jose City (South Central/Branham) & Cambrian Park",3234.51066637323,3043.9305904461,37290
"238","4804615","Houston (Southwest) & Bellaire (Southeast) Cities--Between Loop I-610 & Beltway TX-8",3447.46294385654,3040.81902122888,36991
"239","4202803","Allentown City",3867.84538508259,3034.00138645251,41935
"240","0605916","Orange County (Central)--Santa Ana City (West)",3210.21727156256,3024.82894806069,34778
"241","3603211","Nassau County (West Central)--Hempstead Town (West Central)",3112.21300096662,3006.80178394672,35490
"242","4101314","Portland City (Northwest & Southwest)",5576.3777263438,3003.65479654168,67366
"243","0603725","Los Angeles County--LA City (Northwest/Canoga Park, Winnetka & Woodland Hills)",3704.93774487546,2999.2318518224,61942
"244","0605913","Orange County (Northwest)--Garden Grove City (East)",3079.15434088036,2986.20550177699,43062
"245","0605914","Orange County (Northwest)--Huntington Beach City",3298.12609145711,2966.37808687537,75915
"246","2202402","Regional Planning Commission 8--New Orleans City (South)",3499.89100334958,2966.27262814614,52137
"247","0603737","Los Angeles County (Central)--Monterey Park & Rosemead Cities",3300.11797881176,2960.25684699302,38562
"248","0603727","Los Angeles County (Central)--LA City (Central/Pacific Palisades)",4991.44797966783,2951.35959122168,70974
"249","1208610","Miami-Dade County (Central)--Miami Springs City & Miami International Airport",3873.74422694691,2950.54169581297,33055
"250","0608103","San Mateo County (Central)--San Mateo (North), Burlingame & Millbrae Cities",3762.57359191694,2948.85712166855,40530
"251","0600103","Alameda County (Northeast)--Oakland (East) & Piedmont Cities",4185.58589274855,2940.08797264469,55193
"252","4101303","Portland City (Southeast)",3052.05622634891,2928.86724757276,46198
"253","0605912","Orange County (Northwest)--Westminster, Stanton & Garden Grove (West) Cities",3033.06040140901,2923.43766677938,51411
"254","1000101","New Castle County (East Central)--Wilmington City",3885.70270040618,2914.55736551166,42324
"255","0607321","San Diego County (Southwest)--Chula Vista (West) & National City Cities",3282.35105163694,2902.13406560804,52662
"256","3601205","Erie County (West Central)--Buffalo City (East)",3290.51589946184,2898.21291554024,60284
"257","1208608","Miami-Dade County (North Central)--Doral, Sweetwater Cities & Fontainebleau",4054.8008954866,2891.76456961307,37646
"258","3603205","Nassau County (West Central)--Hempstead Town (Northwest)",3165.40391137265,2884.52942147993,36310
"259","2202301","Regional Planning Commission 4--Jefferson Parish (Central)",3120.11327152222,2877.65459810883,59767
"260","0608101","San Mateo County (North Central)--Daly City, Pacifica Cities & Colma Town",3968.06956635994,2870.99111972943,45471
"261","0400116","Phoenix City (Uptown)",3128.06928552514,2865.38285727818,45278
"262","0603753","Los Angeles County (South)--Downey City",2976.14068960824,2860.48471330989,32307
"263","3900905","Cleveland City (West)",3166.89775740613,2858.59719131356,44821
"264","0603755","Los Angeles County (Southeast)--Norwalk City",2922.59339303874,2842.20215172605,31608
"265","4802310","Dallas (Far North), Carrollton (Southeast) Cities & Addison Town--North of I-635",3903.38013428959,2839.3882508041,51138
"266","1703530","Chicago City (South)--Ashburn, Washington Heights, Morgan Park & Beverly",2976.8754789537,2827.90396583503,44890
"267","0603738","Los Angeles County (Central)--El Monte & South El Monte Cities",3238.40958567187,2826.84325184068,34245
"268","0601301","Contra Costa County (Far Southwest)--Richmond (Southwest) & San Pablo Cities",3291.42753131865,2807.34067197102,38654
"269","4804603","Houston City (South Central)--South of US-59, West of I-45 & Inside Loop I-610",3286.43404075284,2803.91320427965,52684
